review_id,product_id,rating,comment,created_at,sentiment_label,sentiment_score,detected_aspects,overall_rule_sentiment,renk_pigment_sentiment,koku_tat_sentiment,nemlendirme_sentiment,yapı_doku_sentiment,paketleme_sentiment,eksik_yanlış_ürün_sentiment,fiyat_performans_sentiment,kargo_teslimat_sentiment,aspect_sentiment,cleaned_comment,cluster,cluster_id,cluster_keywords,representative_comments,cluster_aspect,cluster_sentiment
595124613,870669244,5,"Doğal bir parlaklık veriyor, çantamdan eksik etmiyorum. İki rengini de aldım",1765475894551,positive,0.985005795955658,"['renk_pigment', 'yapı_doku', 'eksik_yanlış_ürün']",negative,negative,,,negative,,negative,,,renk_pigment:negative; yapı_doku:negative; eksik_yanlış_ürün:negative,"Doğal bir parlaklık veriyor, çantamdan eksik etmiyorum. İki rengini de aldım",1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
463602317,870669244,5,Melike Tufan’ın önerisiyle aldım ve bayıldımmm rengi kokusu çok hoşuma gitti gloss gibi ama asla ağırlık yapmadı ve görüntüsü çok doğal ruj sürmeye bile gerek yok artık diğer renklerini de almayı düşünüyorum sadece boyutu küçük geldi biraz,1736772808544,positive,0.9919106364250184,"['renk_pigment', 'koku_tat', 'yapı_doku']",negative,negative,negative,,negative,,,,,renk_pigment:negative; koku_tat:negative; yapı_doku:negative,Melike Tufan’ın önerisiyle aldım ve bayıldımmm rengi kokusu çok hoşuma gitti gloss gibi ama asla ağırlık yapmadı ve görüntüsü çok doğal ruj sürmeye bile gerek yok artık diğer renklerini de almayı düşünüyorum sadece boyutu küçük geldi biraz,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
543784617,870669244,4,Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor,1747489783476,negative,0.9987393021583556,"['renk_pigment', 'koku_tat']",negative,negative,negative,,,,,,,renk_pigment:negative; koku_tat:negative,Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
563662705,870669244,1,Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..,1755336951513,negative,0.9988239407539368,"['renk_pigment', 'eksik_yanlış_ürün']",negative,negative,,,,,negative,,,renk_pigment:negative; eksik_yanlış_ürün:negative,Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
569343223,870669244,3,rengi falan guzel zaten aynisinin kahvesiginide almistim ama sanki bu urun kullanilmis yarisi bos geldi,1757670055388,negative,0.9990550875663756,"['renk_pigment', 'eksik_yanlış_ürün']",negative,negative,,,,,negative,,,renk_pigment:negative; eksik_yanlış_ürün:negative,rengi falan guzel zaten aynisinin kahvesiginide almistim ama sanki bu urun kullanilmis yarisi bos geldi,0,renk_pigment_negative_0,"kahvesini söylemiştim, aynisinin kahvesiginide, kahvesiginide almistim, yerine kahvesini, kahvesiginide",Aslında pembe yerine kahvesini söylemiştim ama yanlıs gönderilmiş. ama iadeyle ugrasmak istemediğim için önemsemedim | rengi falan guzel zaten aynisinin kahvesiginide almistim ama sanki bu urun kullanilmis yarisi bos geldi,renk_pigment,negative
618290941,870669244,4,alıcak arkadaslar soldaki dudagın kendi rengi hafif soguk mora kaciyo sagdaki dudak pembemsi durusları bu sekilde,1772820283569,negative,0.8953870534896851,"['renk_pigment', 'nemlendirme']",negative,negative,,negative,,,,,,renk_pigment:negative; nemlendirme:negative,alıcak arkadaslar soldaki dudagın kendi rengi hafif soguk mora kaciyo sagdaki dudak pembemsi durusları bu sekilde,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
543057971,870669244,3,yanlış ürün gönderildi ama pembesi wow renk vermedi belki bu veriyordur,1747233024858,negative,0.989738404750824,"['renk_pigment', 'eksik_yanlış_ürün']",negative,negative,,,,,negative,,,renk_pigment:negative; eksik_yanlış_ürün:negative,yanlış ürün gönderildi ama pembesi wow renk vermedi belki bu veriyordur,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
622034800,870669244,5,Aslında pembe yerine kahvesini söylemiştim ama yanlıs gönderilmiş. ama iadeyle ugrasmak istemediğim için önemsemedim,1773829098801,negative,0.9991921782493592,"['renk_pigment', 'nemlendirme']",negative,negative,,negative,,,,,,renk_pigment:negative; nemlendirme:negative,Aslında pembe yerine kahvesini söylemiştim ama yanlıs gönderilmiş. ama iadeyle ugrasmak istemediğim için önemsemedim,0,renk_pigment_negative_0,"kahvesini söylemiştim, aynisinin kahvesiginide, kahvesiginide almistim, yerine kahvesini, kahvesiginide",Aslında pembe yerine kahvesini söylemiştim ama yanlıs gönderilmiş. ama iadeyle ugrasmak istemediğim için önemsemedim | rengi falan guzel zaten aynisinin kahvesiginide almistim ama sanki bu urun kullanilmis yarisi bos geldi,renk_pigment,negative
628448413,870669244,5,Rengi tayı dokusu çok güzel ama paketleme kötü nedense,1775829550598,negative,0.9989715814590454,"['renk_pigment', 'yapı_doku', 'paketleme']",negative,negative,,,negative,negative,,,,renk_pigment:negative; yapı_doku:negative; paketleme:negative,Rengi tayı dokusu çok güzel ama paketleme kötü nedense,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
557271543,870669244,3,"Çok renkli çok parlak, pek sevmedim",1752686155577,negative,0.9996399879455566,"['renk_pigment', 'yapı_doku']",negative,negative,,,negative,,,,,renk_pigment:negative; yapı_doku:negative,"Çok renkli çok parlak, pek sevmedim",1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
619898775,870669244,1,Siparişim yanlış gelmiş ben en çok kırmızısını merak ediyordum ama bana cherry yollanmış onun yerine etik olmayan bir hareket markanın kendisine bir hakaret olduğunu düşünüyorum,1773244653518,negative,0.999250829219818,"['renk_pigment', 'eksik_yanlış_ürün']",negative,negative,,,,,negative,,,renk_pigment:negative; eksik_yanlış_ürün:negative,Siparişim yanlış gelmiş ben en çok kırmızısını merak ediyordum ama bana cherry yollanmış onun yerine etik olmayan bir hareket markanın kendisine bir hakaret olduğunu düşünüyorum,2,renk_pigment_negative_2,"düşünüyorum kırmızıyı, kırmızısını merak, kırmızıyı pek, en kırmızısını, kırmızıyı",Kırmızıyı pek beğenmedim | Siparişim yanlış gelmiş ben en çok kırmızısını merak ediyordum ama bana cherry yollanmış onun yerine etik olmayan bir hareket markanın kendisine bir hakaret olduğunu düşünüyorum,renk_pigment,negative
626655074,870669244,2,beğenmedim pigment az ve cilek tadiyoo,1775244026646,negative,0.9995567202568054,['renk_pigment'],negative,negative,,,,,,,,renk_pigment:negative,beğenmedim pigment az ve cilek tadiyoo,1,renk_pigment_negative_1,"sevmedim pigment, renklerini de, nedense renkli, diğer renklerini, renkli","Pembe rengi gibi değil daha yağ formda tadını pek beğenmedim ama işlevini yerine getiriyor çok fazla renk vermiyor | Çok renkli çok parlak, pek sevmedim | Ürün gelmedi iki renk sipariş vermiştim diğer renk gelmedi..",renk_pigment,negative
582952333,870669244,3,Kırmızıyı pek beğenmedim,1762363888362,negative,0.9993430972099304,['renk_pigment'],negative,negative,,,,,,,,renk_pigment:negative,Kırmızıyı pek beğenmedim,2,renk_pigment_negative_2,"düşünüyorum kırmızıyı, kırmızısını merak, kırmızıyı pek, en kırmızısını, kırmızıyı",Kırmızıyı pek beğenmedim | Siparişim yanlış gelmiş ben en çok kırmızısını merak ediyordum ama bana cherry yollanmış onun yerine etik olmayan bir hareket markanın kendisine bir hakaret olduğunu düşünüyorum,renk_pigment,negative
604804158,870669244,5,pembesini beğenip aldım buda çok güzel,1768551665710,negative,0.7451233863830566,['renk_pigment'],positive,positive,,,,,,,,renk_pigment:positive,pembesini beğenip aldım buda çok güzel,1,renk_pigment_positive_1,"renklerinide almıştım, rengine bayıldım, rengide hoş, renklerini harika, baya rengine",Nemlendirmesi rengi çok güzel | rengi çok güzel | Rengi gayet güzel,renk_pigment,positive
